                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                  1.192,                0.95235,                 1.4035,                   1.26,                 1.1271,                 1.4075,                0.77876,                0.67579,                0.78535,                 0.5115,                 1.1699,                0.99304,                 1.4163,                 1.2205,                 1.1366,                 1.4175,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.2348,                0.98333,                 1.4097,                 1.2933,                 1.1737,                 1.4089,                0.74555,                0.68316,                0.77499,                0.49659,                 1.2018,                 1.0333,                 1.4669,                 1.2534,                  1.188,                 1.4628,               0.000713,               0.000713,               0.000713
                     68,                 1.2075,                0.97532,                 1.4158,                 1.2713,                 1.1783,                 1.4037,                0.74865,                0.63053,                 0.7451,                0.46595,                 1.2744,                 1.1645,                 1.5699,                 1.2704,                  1.344,                 1.4891,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.2063,                0.94862,                 1.4125,                 1.2654,                 1.1352,                 1.4086,                0.76738,                0.71263,                0.79497,                0.52335,                 1.1547,                0.94562,                 1.4183,                 1.2035,                  1.075,                 1.4188,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.1756,                0.95248,                 1.3871,                 1.2433,                 1.1496,                 1.3753,                0.72565,                0.63759,                 0.7439,                0.48623,                 1.1742,                 1.0786,                 1.4268,                 1.2086,                 1.1885,                  1.425,              0.0006536,              0.0006536,              0.0006536
                     71,                  1.186,                0.96362,                 1.4065,                 1.2644,                 1.1444,                 1.4163,                0.71194,                0.70421,                0.77539,                0.51592,                  1.167,                 1.0233,                 1.4324,                 1.1999,                 1.1933,                 1.4227,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.1774,                0.93261,                  1.392,                 1.2672,                 1.1217,                  1.396,                0.78181,                0.67474,                0.77281,                0.48228,                 1.2588,                0.98058,                 1.5011,                 1.2795,                 1.1257,                 1.4812,               0.000614,               0.000614,               0.000614
                     73,                 1.2121,                0.96616,                 1.4073,                 1.2964,                 1.1559,                 1.4051,                0.76182,                0.71474,                0.79346,                0.53396,                 1.1314,                0.98694,                 1.3817,                 1.1438,                 1.1282,                 1.3637,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.1736,                0.94376,                 1.3853,                  1.236,                  1.142,                  1.374,                0.75321,                0.71263,                0.78961,                0.53259,                 1.1379,                0.96773,                 1.3887,                 1.1777,                  1.074,                 1.3866,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.1538,                0.91944,                  1.376,                 1.2176,                 1.0907,                 1.3711,                 0.7898,                0.66316,                0.78196,                0.52258,                 1.1246,                0.99503,                 1.3907,                 1.1766,                 1.1015,                 1.3981,              0.0005546,              0.0005546,              0.0005546
